chrom	length	bases	mean	min	max
NC_001318.1	910724	13301	0.01	0	63
NC_001318.1_region	2435	2215	0.91	0	63
NC_001903.1	26498	113	0.00	0	2
NC_001903.1_region	0	0	0.00	0	0
NC_000948.1	30750	98	0.00	0	1
NC_000948.1_region	0	0	0.00	0	0
NC_000949.1	30223	100	0.00	0	1
NC_000949.1_region	0	0	0.00	0	0
NC_000950.1	30299	55	0.00	0	2
NC_000950.1_region	0	0	0.00	0	0
NC_000951.1	29838	82	0.00	0	1
NC_000951.1_region	0	0	0.00	0	0
NC_000952.1	30800	1919	0.06	0	81
NC_000952.1_region	0	0	0.00	0	0
NC_000953.1	30885	75	0.00	0	1
NC_000953.1_region	0	0	0.00	0	0
NC_000954.1	30651	155	0.01	0	2
NC_000954.1_region	0	0	0.00	0	0
NC_001904.1	9386	42	0.00	0	1
NC_001904.1_region	0	0	0.00	0	0
NC_001849.2	16821	865	0.05	0	37
NC_001849.2_region	0	0	0.00	0	0
NC_000955.2	18777	79	0.00	0	2
NC_000955.2_region	0	0	0.00	0	0
NC_001850.1	24177	155	0.01	0	2
NC_001850.1_region	0	0	0.00	0	0
NC_001851.2	28155	135	0.00	0	2
NC_001851.2_region	0	0	0.00	0	0
NC_001852.1	29766	224	0.01	0	3
NC_001852.1_region	0	0	0.00	0	0
NC_001853.1	28601	174	0.01	0	2
NC_001853.1_region	0	0	0.00	0	0
NC_001854.1	27323	1188	0.04	0	49
NC_001854.1_region	0	0	0.00	0	0
NC_001855.1	36849	235	0.01	0	3
NC_001855.1_region	0	0	0.00	0	0
NC_001856.1	38829	752	0.02	0	13
NC_001856.1_region	0	0	0.00	0	0
NC_001857.2	53657	2352	0.04	0	78
NC_001857.2_region	0	0	0.00	0	0
NC_000956.1	52971	192	0.00	0	2
NC_000956.1_region	0	0	0.00	0	0
NC_000117.1	1042519	17779	0.02	0	53
NC_000117.1_region	2809	954	0.34	0	32
NC_000922.1	1230230	17529	0.01	0	43
NC_000922.1_region	2893	1177	0.41	0	43
NC_003030.1	3940880	54818	0.01	0	103
NC_003030.1_region	5650	1458	0.26	0	37
NC_001988.2	192000	1667	0.01	0	14
NC_001988.2_region	0	0	0.00	0	0
NC_003112.2	2272360	26447	0.01	0	50
NC_003112.2_region	4622	882	0.19	0	20
NC_007929.1	1827111	43130	0.02	0	132
NC_007929.1_region	5757	1638	0.28	0	65
NC_007930.1	242436	2588	0.01	0	59
NC_007930.1_region	0	0	0.00	0	0
NC_006529.1	20417	149	0.01	0	5
NC_006529.1_region	0	0	0.00	0	0
NC_006530.1	44013	188	0.00	0	2
NC_006530.1_region	0	0	0.00	0	0
NC_010816.1	2375792	34442	0.01	0	168
NC_010816.1_region	4495	2986	0.66	0	38
NC_004252.1	10073	18	0.00	0	1
NC_004252.1_region	0	0	0.00	0	0
NC_004253.1	3661	670	0.18	0	16
NC_004253.1_region	0	0	0.00	0	0
NC_006570.2	1892775	42934	0.02	0	472
NC_006570.2_region	2984	317	0.11	0	8
NC_000964.3	4215606	126482	0.03	0	3067
NC_000964.3_region	6646	210	0.03	0	4
NC_003143.1	4653728	32606	0.01	0	64
NC_003143.1_region	5424	1244	0.23	0	30
NC_003131.1	70305	235	0.00	0	3
NC_003131.1_region	0	0	0.00	0	0
NC_003134.1	96210	1225	0.01	0	12
NC_003134.1_region	0	0	0.00	0	0
NC_003132.1	9612	57	0.01	0	1
NC_003132.1_region	0	0	0.00	0	0
NC_002163.1	1641481	24888	0.02	0	109
NC_002163.1_region	3388	1749	0.52	0	51
NC_003295.1	3716413	62467	0.02	0	679
NC_003295.1_region	4235	136	0.03	0	1
NC_003296.1	2094509	18320	0.01	0	279
NC_003296.1_region	392	38	0.10	0	2
NC_008380.1	5057142	78656	0.02	0	317
NC_008380.1_region	4079	3798	0.93	0	58
NC_008381.1	488135	4125	0.01	0	27
NC_008381.1_region	0	0	0.00	0	0
NC_008384.1	684202	9364	0.01	0	205
NC_008384.1_region	0	0	0.00	0	0
NC_008378.1	870021	7017	0.01	0	113
NC_008378.1_region	0	0	0.00	0	0
NC_008382.1	151564	3664	0.02	0	51
NC_008382.1_region	0	0	0.00	0	0
NC_008383.1	147463	907	0.01	0	19
NC_008383.1_region	0	0	0.00	0	0
NC_008379.1	352782	1380	0.00	0	24
NC_008379.1_region	0	0	0.00	0	0
NC_008800.1	4615899	53890	0.01	0	116
NC_008800.1_region	6265	894	0.14	0	24
NC_008791.1	67721	552	0.01	0	13
NC_008791.1_region	0	0	0.00	0	0
NC_002528.1	640681	7676	0.01	0	46
NC_002528.1_region	2380	774	0.33	0	25
NC_002253.1	7786	36	0.00	0	1
NC_002253.1_region	0	0	0.00	0	0
NC_002252.1	7258	36	0.00	0	2
NC_002252.1_region	0	0	0.00	0	0
NC_002745.2	2814816	55981	0.02	0	429
NC_002745.2_region	4711	2281	0.48	0	98
NC_003140.1	24653	97	0.00	0	2
NC_003140.1_region	0	0	0.00	0	0
NC_003366.1	3031430	48399	0.02	0	125
NC_003366.1_region	7514	4799	0.64	0	72
NC_003042.1	54310	502	0.01	0	5
NC_003042.1_region	0	0	0.00	0	0
NC_006347.1	5277274	105596	0.02	0	320
NC_006347.1_region	5645	325	0.06	0	4
NC_006297.1	33716	168	0.00	0	2
NC_006297.1_region	0	0	0.00	0	0
NC_006576.1	2696255	335376	0.12	0	3982
NC_006576.1_region	3400	83003	24.41	0	2627
NC_012490.1	6516310	178469	0.03	0	2302
NC_012490.1_region	4092	3319	0.81	0	73
NC_007486.1	104014	1177	0.01	0	29
NC_007486.1_region	0	0	0.00	0	0
NC_007491.1	271577	3445	0.01	0	82
NC_007491.1_region	0	0	0.00	0	0
NC_010296.1	5842795	261325	0.04	0	1784
NC_010296.1_region	3189	57537	18.04	0	1784
NC_012891.1	2106340	43162	0.02	0	231
NC_012891.1_region	4293	148	0.03	0	4
NC_013209.1	2907495	106143	0.04	0	1771
NC_013209.1_region	4445	44560	10.02	0	1771
NC_013210.1	191799	2602	0.01	0	96
NC_013210.1_region	0	0	0.00	0	0
NC_013211.1	182940	987	0.01	0	19
NC_013211.1_region	0	0	0.00	0	0
NC_013212.1	49961	1416	0.03	0	62
NC_013212.1_region	0	0	0.00	0	0
NC_013213.1	3204	41	0.01	0	1
NC_013213.1_region	0	0	0.00	0	0
NC_013214.1	3035	19	0.01	0	1
NC_013214.1_region	0	0	0.00	0	0
NC_006350.1	4074542	23876	0.01	0	200
NC_006350.1_region	4167	299	0.07	0	2
NC_006351.1	3173005	41483	0.01	0	706
NC_006351.1_region	651	79	0.12	0	1
NC_005791.1	1661137	84133	0.05	0	726
NC_005791.1_region	3063	236	0.08	0	5
NC_006677.1	2702173	70905	0.03	0	376
NC_006677.1_region	4398	1294	0.29	0	17
NC_006672.1	163186	2349	0.01	0	32
NC_006672.1_region	0	0	0.00	0	0
NC_006673.1	26568	453	0.02	0	20
NC_006673.1_region	0	0	0.00	0	0
NC_006674.1	14547	173	0.01	0	4
NC_006674.1_region	0	0	0.00	0	0
NC_006675.1	13223	41	0.00	0	1
NC_006675.1_region	0	0	0.00	0	0
NC_006348.1	3510148	18182	0.01	0	179
NC_006348.1_region	3685	291	0.08	0	2
NC_006349.2	2325379	35881	0.02	0	669
NC_006349.2_region	804	0	0.00	0	0
NC_006449.1	1796226	31404	0.02	0	292
NC_006449.1_region	5050	132	0.03	0	5
NC_002936.3	1469720	52201	0.04	0	1340
NC_002936.3_region	3603	37893	10.52	0	1340
NC_007005.1	6093698	98758	0.02	0	677
NC_007005.1_region	5005	17795	3.56	0	653
NC_004129.6	7074893	110911	0.02	0	1181
NC_004129.6_region	5460	2394	0.44	0	90
NC_007181.1	2225959	46301	0.02	0	393
NC_007181.1_region	3959	318	0.08	0	12
NC_007651.1	3809201	25088	0.01	0	81
NC_007651.1_region	4119	375	0.09	0	2
NC_007650.1	2914771	16352	0.01	0	76
NC_007650.1_region	577	0	0.00	0	0
NC_007492.2	6438405	89903	0.01	0	827
NC_007492.2_region	5710	1576	0.28	0	53
NC_007633.1	1010023	12315	0.01	0	78
NC_007633.1_region	2351	280	0.12	0	12
NC_007797.1	1471282	36523	0.02	0	254
NC_007797.1_region	2826	7999	2.83	0	254
NC_007799.1	1176248	29284	0.02	0	242
NC_007799.1_region	2852	9228	3.24	0	242
NC_009434.1	4567418	52525	0.01	0	526
NC_009434.1_region	4721	1587	0.34	0	53
NC_008508.1	3614446	2177365	0.60	0	88574
NC_008508.1_region	2820	2116137	750.40	0	88574
NC_008509.1	317336	5819	0.02	0	48
NC_008509.1_region	0	0	0.00	0	0
NC_009850.1	2341251	39112	0.02	0	193
NC_009850.1_region	4238	5051	1.19	0	193
NC_008531.1	2038396	53068	0.03	0	570
NC_008531.1_region	5324	2452	0.46	0	25
NC_008496.1	37367	117	0.00	0	2
NC_008496.1_region	0	0	0.00	0	0
NC_008526.1	2895264	83853	0.03	0	744
NC_008526.1_region	4442	7653	1.72	0	180
NC_008502.1	29061	476	0.02	0	11
NC_008502.1_region	0	0	0.00	0	0
NC_008570.1	4744448	51247	0.01	0	174
NC_008570.1_region	9862	375	0.04	0	4
NC_008599.1	1773615	25047	0.01	0	166
NC_008599.1_region	3458	506	0.15	0	11
NC_010080.1	2080931	33683	0.02	0	138
NC_010080.1_region	4612	1588	0.34	0	65
NC_009725.2	3918596	77799	0.02	0	624
NC_009725.2_region	6786	364	0.05	0	11
NC_009052.1	5127376	97477	0.02	0	575
NC_009052.1_region	8325	2052	0.25	0	23
NC_009035.1	116763	669	0.01	0	8
NC_009035.1_region	796	226	0.28	0	7
NC_009036.1	74000	364	0.00	0	4
NC_009036.1_region	0	0	0.00	0	0
NC_009037.1	16762	195	0.01	0	4
NC_009037.1_region	0	0	0.00	0	0
NC_009038.1	7995	76	0.01	0	1
NC_009038.1_region	0	0	0.00	0	0
NC_009012.1	3843301	59145	0.02	0	90
NC_009012.1_region	4391	1903	0.43	0	70
NC_009053.1	2274482	25239	0.01	0	74
NC_009053.1_region	4874	880	0.18	0	31
NC_009049.1	3147721	24549	0.01	0	85
NC_009049.1_region	3115	626	0.20	0	11
NC_009050.1	1219053	24294	0.02	0	63
NC_009050.1_region	1247	1203	0.96	0	53
NC_009040.1	122606	246	0.00	0	5
NC_009040.1_region	0	0	0.00	0	0
NC_009648.1	5315120	52555	0.01	0	676
NC_009648.1_region	6747	116	0.02	0	1
NC_009649.1	175879	1337	0.01	0	12
NC_009649.1_region	0	0	0.00	0	0
NC_009650.1	107576	282	0.00	0	5
NC_009650.1_region	0	0	0.00	0	0
NC_009651.1	88582	288	0.00	0	5
NC_009651.1_region	0	0	0.00	0	0
NC_009652.1	4259	18	0.00	0	1
NC_009652.1_region	0	0	0.00	0	0
NC_009653.1	3478	73	0.02	0	4
NC_009653.1_region	0	0	0.00	0	0
NC_009439.1	5072807	33784	0.01	0	66
NC_009439.1_region	5150	2444	0.47	0	66
NC_009513.1	1999618	47132	0.02	0	592
NC_009513.1_region	5130	4979	0.97	0	92
NC_009617.1	6000632	82967	0.01	0	275
NC_009617.1_region	7328	492	0.07	0	10
NC_010263.3	1268201	24313	0.02	0	184
NC_010263.3_region	2666	5805	2.18	0	184
NC_009778.1	4368373	61583	0.01	0	1056
NC_009778.1_region	6510	121	0.02	0	3
NC_009779.1	31208	7957	0.25	0	407
NC_009779.1_region	0	0	0.00	0	0
NC_009780.1	131196	485	0.00	0	4
NC_009780.1_region	0	0	0.00	0	0
NC_012587.1	3925702	54358	0.01	0	119
NC_012587.1_region	4253	3680	0.87	0	70
NC_000914.2	536165	5183	0.01	0	26
NC_000914.2_region	76	0	0.00	0	0
NC_012586.1	2430033	20730	0.01	0	115
NC_012586.1_region	0	0	0.00	0	0
NC_010172.1	5471154	78587	0.01	0	268
NC_010172.1_region	4530	702	0.15	0	12
NC_012039.1	1525460	62335	0.04	0	1753
NC_012039.1_region	3974	1470	0.37	0	37
NC_012040.1	46201	369	0.01	0	7
NC_012040.1_region	0	0	0.00	0	0
NC_010682.1	3942557	157093	0.04	0	5544
NC_010682.1_region	4165	783	0.19	0	11
NC_010678.1	1302238	16653	0.01	0	220
NC_010678.1_region	315	20	0.06	0	1
NC_010683.1	80934	680	0.01	0	21
NC_010683.1_region	0	0	0.00	0	0
NC_011138.3	4480937	55055	0.01	0	118
NC_011138.3_region	4702	912	0.19	0	36
NC_011134.1	2024171	31775	0.02	0	92
NC_011134.1_region	4291	72	0.02	0	1
NC_012560.1	5365318	99393	0.02	0	535
NC_012560.1_region	5004	1611	0.32	0	60
NC_011835.1	1933695	21638	0.01	0	84
NC_011835.1_region	3933	409	0.10	0	5
NC_011852.1	2269156	35988	0.02	0	151
NC_011852.1_region	4401	658	0.15	0	26
NC_012588.1	2608832	86517	0.03	0	901
NC_012588.1_region	3923	572	0.15	0	11
NC_012791.1	5626353	132371	0.02	0	2032
NC_012791.1_region	3621	1540	0.43	0	21
NC_012792.1	1128644	8481	0.01	0	48
NC_012792.1_region	1170	0	0.00	0	0
NC_012917.1	4862913	55372	0.01	0	322
NC_012917.1_region	6127	289	0.05	0	3
NC_013956.2	4703373	92858	0.02	0	2382
NC_013956.2_region	5554	191	0.03	0	2
NC_014103.1	5097447	88717	0.02	0	261
NC_014103.1_region	8857	4141	0.47	0	68
NC_013198.1	3010111	64363	0.02	0	690
NC_013198.1_region	4296	4151	0.97	0	187
NC_013798.1	2350911	37325	0.02	0	75
NC_013798.1_region	5372	171	0.03	0	4
NC_000907.1	1830138	27408	0.01	0	152
NC_000907.1_region	4484	1162	0.26	0	37
NC_000908.2	580076	7328	0.01	0	32
NC_000908.2_region	2834	827	0.29	0	32
NC_000912.1	816394	12679	0.02	0	83
NC_000912.1_region	2919	92	0.03	0	1
NC_004459.3	3281866	101237	0.03	0	1365
NC_004459.3_region	7676	121	0.02	0	1
NC_004460.2	1844830	29526	0.02	0	158
NC_004460.2_region	1032	24	0.02	0	1
NC_006155.1	4744671	43589	0.01	0	152
NC_006155.1_region	6789	1165	0.17	0	29
NC_006153.2	68525	367	0.01	0	4
NC_006153.2_region	0	0	0.00	0	0
NC_006154.1	27702	708	0.03	0	14
NC_006154.1_region	0	0	0.00	0	0
NC_008054.1	1864998	45256	0.02	0	140
NC_008054.1_region	7163	1849	0.26	0	65
NC_009480.1	3297891	49371	0.01	0	624
NC_009480.1_region	3444	698	0.20	0	15
NC_009478.1	27357	56	0.00	0	1
NC_009478.1_region	0	0	0.00	0	0
NC_009479.1	69989	2949	0.04	0	121
NC_009479.1_region	0	0	0.00	0	0
NC_009488.1	2127051	21680	0.01	0	135
NC_009488.1_region	2674	1921	0.72	0	38
NC_009495.1	3886916	46919	0.01	0	172
NC_009495.1_region	6243	738	0.12	0	10
NC_009496.1	16344	339	0.02	0	5
NC_009496.1_region	0	0	0.00	0	0
NC_009613.3	2860382	41641	0.01	0	58
NC_009613.3_region	3695	618	0.17	0	5
NC_010397.1	5067172	60055	0.01	0	714
NC_010397.1_region	3628	330	0.09	0	4
NC_010394.1	23319	112	0.00	0	2
NC_010394.1_region	0	0	0.00	0	0
NC_010943.1	4851126	53421	0.01	0	599
NC_010943.1_region	5795	210	0.04	0	2
NC_014215.1	2616384	39165	0.01	0	189
NC_014215.1_region	3429	3901	1.14	0	174
NC_007761.1	4381608	60127	0.01	0	126
NC_007761.1_region	3903	5392	1.38	0	66
NC_007762.1	194229	994	0.01	0	10
NC_007762.1_region	0	0	0.00	0	0
NC_007763.1	184338	1566	0.01	0	29
NC_007763.1_region	0	0	0.00	0	0
NC_007764.1	250948	1683	0.01	0	7
NC_007764.1_region	0	0	0.00	0	0
NC_007765.1	505334	9122	0.02	0	261
NC_007765.1_region	0	0	0.00	0	0
NC_007766.1	642517	22813	0.04	0	839
NC_007766.1_region	0	0	0.00	0	0
NC_004041.2	371254	1995	0.01	0	9
NC_004041.2_region	0	0	0.00	0	0
NC_004342.2	4338762	82153	0.02	0	589
NC_004342.2_region	2820	14901	5.28	0	589
NC_004343.2	359372	4201	0.01	0	34
NC_004343.2_region	0	0	0.00	0	0
NC_004829.2	1012800	16464	0.02	0	81
NC_004829.2_region	2492	75	0.03	0	1
NC_014329.2	2337241	41506	0.02	0	394
NC_014329.2_region	3661	524	0.14	0	23
NC_014330.1	2586443	29492	0.01	0	169
NC_014330.1_region	2598	214	0.08	0	5
NC_014448.1	839615	36006	0.04	0	296
NC_014448.1_region	2368	4872	2.06	0	173
NC_014483.2	5394883	133504	0.02	0	1089
NC_014483.2_region	7015	592	0.08	0	7
NC_014638.1	2214656	24742	0.01	0	158
NC_014638.1_region	4063	1882	0.46	0	32
NC_018632.1	4653851	62027	0.01	0	267
NC_018632.1_region	4048	718	0.18	0	32
NC_017960.1	2698137	50516	0.02	0	145
NC_017960.1_region	4689	105	0.02	0	2
NC_017961.1	36262	269	0.01	0	3
NC_017961.1_region	0	0	0.00	0	0
NC_017962.1	66247	487	0.01	0	4
NC_017962.1_region	156	19	0.12	0	1
NC_017963.1	251926	3647	0.01	0	95
NC_017963.1_region	0	0	0.00	0	0
NC_014738.1	2155121	51790	0.02	0	711
NC_014738.1_region	3030	18017	5.95	0	711
NC_014760.1	1003404	40654	0.04	0	230
NC_014760.1_region	2673	821	0.31	0	21
NC_015470.1	1171660	16895	0.01	0	64
NC_015470.1_region	2895	967	0.33	0	35
NC_015217.1	7553	246	0.03	0	10
NC_015217.1_region	0	0	0.00	0	0
NC_002929.2	4086189	32061	0.01	0	300
NC_002929.2_region	3997	3355	0.84	0	155
NC_000963.1	1111523	20918	0.02	0	226
NC_000963.1_region	2592	1976	0.76	0	35
NC_002937.3	3570858	64685	0.02	0	361
NC_002937.3_region	5284	691	0.13	0	12
NC_005863.1	202301	1034	0.01	0	17
NC_005863.1_region	0	0	0.00	0	0
NC_005296.1	5459213	115620	0.02	0	602
NC_005296.1_region	3841	6046	1.57	0	181
NC_005297.1	8427	58	0.01	0	2
NC_005297.1_region	0	0	0.00	0	0
NC_002677.1	3268203	42911	0.01	0	180
NC_002677.1_region	3418	2401	0.70	0	75
NC_007355.1	4837408	110660	0.02	0	591
NC_007355.1_region	4927	888	0.18	0	38
NC_007349.1	36358	157	0.00	0	3
NC_007349.1_region	0	0	0.00	0	0
NC_000962.3	4411532	39103	0.01	0	126
NC_000962.3_region	3385	2345	0.69	0	80
NC_004603.1	3288558	51847	0.02	0	111
NC_004603.1_region	8861	311	0.04	0	3
NC_004605.1	1877212	29896	0.02	0	139
NC_004605.1_region	1117	61	0.05	0	2
NC_006958.1	3282708	104452	0.03	0	1196
NC_006958.1_region	4459	201	0.05	0	5
NC_009348.1	4702402	44393	0.01	0	209
NC_009348.1_region	8475	682	0.08	0	23
NC_009349.1	166749	2069	0.01	0	18
NC_009349.1_region	0	0	0.00	0	0
NC_009350.1	155098	1964	0.01	0	19
NC_009350.1_region	0	0	0.00	0	0
NC_004924.1	5616	18	0.00	0	1
NC_004924.1_region	0	0	0.00	0	0
NC_014318.1	10236715	125198	0.01	0	614
NC_014318.1_region	4166	7533	1.81	0	341
NC_008542.1	3483902	34070	0.01	0	194
NC_008542.1_region	4706	3186	0.68	0	136
NC_008543.1	2998664	24427	0.01	0	268
NC_008543.1_region	611	0	0.00	0	0
NC_008544.1	1055417	22509	0.02	0	593
NC_008544.1_region	153	0	0.00	0	0
NC_008545.1	164857	1751	0.01	0	26
NC_008545.1_region	0	0	0.00	0	0
NC_015408.1	1106197	23980	0.02	0	65
NC_015408.1_region	2893	1087	0.38	0	45
NC_017218.1	2327492	32059	0.01	0	120
NC_017218.1_region	4007	1592	0.40	0	26
NC_015567.1	5442880	57480	0.01	0	513
NC_015567.1_region	6787	877	0.13	0	21
NC_015683.1	2606374	40656	0.02	0	221
NC_015683.1_region	3873	862	0.22	0	29
NC_015634.1	3073079	75944	0.02	0	658
NC_015634.1_region	5584	886	0.16	0	31
NC_015690.1	8663821	201743	0.02	0	2313
NC_015690.1_region	8536	13684	1.60	0	561
NC_017238.1	903609	14831	0.02	0	81
NC_017238.1_region	2438	2555	1.05	0	81
NC_017229.1	26539	163	0.01	0	4
NC_017229.1_region	0	0	0.00	0	0
NC_017230.1	30000	165	0.01	0	5
NC_017230.1_region	0	0	0.00	0	0
NC_017224.1	30718	134	0.00	0	4
NC_017224.1_region	0	0	0.00	0	0
NC_017225.1	30065	161	0.01	0	4
NC_017225.1_region	0	0	0.00	0	0
NC_017226.1	31118	96	0.00	0	1
NC_017226.1_region	0	0	0.00	0	0
NC_017227.1	30949	238	0.01	0	8
NC_017227.1_region	0	0	0.00	0	0
NC_017231.1	25262	40	0.00	0	1
NC_017231.1_region	0	0	0.00	0	0
NC_017228.1	29421	349	0.01	0	12
NC_017228.1_region	0	0	0.00	0	0
NC_017232.1	24675	124	0.01	0	2
NC_017232.1_region	0	0	0.00	0	0
NC_017239.1	26626	3668	0.14	0	171
NC_017239.1_region	0	0	0.00	0	0
NC_017233.1	22901	187	0.01	0	5
NC_017233.1_region	0	0	0.00	0	0
NC_017234.1	22449	97	0.00	0	1
NC_017234.1_region	0	0	0.00	0	0
NC_017235.1	27239	392	0.01	0	10
NC_017235.1_region	0	0	0.00	0	0
NC_017236.1	20715	103	0.00	0	2
NC_017236.1_region	0	0	0.00	0	0
NC_017240.1	30180	37	0.00	0	1
NC_017240.1_region	0	0	0.00	0	0
NC_017237.1	33903	186	0.01	0	1
NC_017237.1_region	0	0	0.00	0	0
NC_017241.1	57919	943	0.02	0	10
NC_017241.1_region	0	0	0.00	0	0
NC_016610.1	3405521	71618	0.02	0	474
NC_016610.1_region	3492	1093	0.31	0	38
NC_017717.1	905534	12828	0.01	0	64
NC_017717.1_region	2436	2051	0.84	0	64
NC_017725.1	27111	95	0.00	0	1
NC_017725.1_region	0	0	0.00	0	0
NC_017804.1	61166	934	0.02	0	12
NC_017804.1_region	0	0	0.00	0	0
NZ_CP023402.1	4093812	107905	0.03	0	1082
NZ_CP023402.1_region	4041	404	0.10	0	3
NC_016612.1	5974109	69700	0.01	0	571
NC_016612.1_region	6589	82	0.01	0	2
