chrom	length	bases	mean	min	max
NC_005835.1	1894877	13632	0.01	0	148
NC_005835.1_region	3706	3256	0.88	0	19
NC_005838.1	232605	202	0.00	0	3
NC_005838.1_region	0	0	0.00	0	0
NC_006932.1	2124241	20864	0.01	0	29
NC_006932.1_region	3200	6397	2.00	0	25
NC_006933.1	1162204	10410	0.01	0	21
NC_006933.1_region	1100	3491	3.17	0	16
NC_006085.1	2560265	15556	0.01	0	30
NC_006085.1_region	3431	2029	0.59	0	6
NC_006360.1	892758	6288	0.01	0	50
NC_006360.1_region	2461	2331	0.95	0	32
NC_002942.5	3397754	25028	0.01	0	146
NC_002942.5_region	3437	8418	2.45	0	146
NC_005957.1	5237682	9798	0.00	0	61
NC_005957.1_region	8090	5412	0.67	0	61
NC_006578.1	77112	37	0.00	0	1
NC_006578.1_region	0	0	0.00	0	0
NC_000915.1	1667867	8005	0.00	0	182
NC_000915.1_region	2837	4272	1.51	0	182
NC_001318.1	910724	2113	0.00	0	7
NC_001318.1_region	2435	201	0.08	0	1
NC_001903.1	26498	39	0.00	0	1
NC_001903.1_region	0	0	0.00	0	0
NC_000950.1	30299	19	0.00	0	1
NC_000950.1_region	0	0	0.00	0	0
NC_001904.1	9386	19	0.00	0	1
NC_001904.1_region	0	0	0.00	0	0
NC_001850.1	24177	18	0.00	0	1
NC_001850.1_region	0	0	0.00	0	0
NC_001855.1	36849	36	0.00	0	1
NC_001855.1_region	0	0	0.00	0	0
NC_001857.2	53657	37	0.00	0	1
NC_001857.2_region	0	0	0.00	0	0
NC_000117.1	1042519	4126	0.00	0	35
NC_000117.1_region	2809	587	0.21	0	5
NC_000922.1	1230230	2149	0.00	0	7
NC_000922.1_region	2893	423	0.15	0	6
NC_003030.1	3940880	10015	0.00	0	26
NC_003030.1_region	5650	1908	0.34	0	26
NC_001988.2	192000	103	0.00	0	1
NC_001988.2_region	0	0	0.00	0	0
NC_003112.2	2272360	42425	0.02	0	140
NC_003112.2_region	4622	11701	2.53	0	140
NC_007929.1	1827111	7159	0.00	0	21
NC_007929.1_region	5757	697	0.12	0	4
NC_007930.1	242436	178	0.00	0	2
NC_007930.1_region	0	0	0.00	0	0
NC_006529.1	20417	19	0.00	0	1
NC_006529.1_region	0	0	0.00	0	0
NC_006530.1	44013	119	0.00	0	3
NC_006530.1_region	0	0	0.00	0	0
NC_010816.1	2375792	9702	0.00	0	52
NC_010816.1_region	4495	1083	0.24	0	5
NC_006570.2	1892775	14582	0.01	0	53
NC_006570.2_region	2984	4599	1.54	0	53
NC_000964.3	4215606	9417	0.00	0	20
NC_000964.3_region	6646	2936	0.44	0	20
NC_003143.1	4653728	11099	0.00	0	55
NC_003143.1_region	5424	1690	0.31	0	5
NC_003134.1	96210	128	0.00	0	3
NC_003134.1_region	0	0	0.00	0	0
NC_003132.1	9612	42	0.00	0	1
NC_003132.1_region	0	0	0.00	0	0
NC_002163.1	1641481	3698	0.00	0	18
NC_002163.1_region	3388	1272	0.38	0	18
NC_003295.1	3716413	110701	0.03	0	159
NC_003295.1_region	4235	27832	6.57	0	159
NC_003296.1	2094509	74951	0.04	0	2194
NC_003296.1_region	392	1094	2.79	0	22
NC_008380.1	5057142	49615	0.01	0	116
NC_008380.1_region	4079	9935	2.44	0	31
NC_008381.1	488135	775	0.00	0	15
NC_008381.1_region	0	0	0.00	0	0
NC_008384.1	684202	604	0.00	0	3
NC_008384.1_region	0	0	0.00	0	0
NC_008378.1	870021	2763	0.00	0	95
NC_008378.1_region	0	0	0.00	0	0
NC_008382.1	151564	120	0.00	0	2
NC_008382.1_region	0	0	0.00	0	0
NC_008383.1	147463	55	0.00	0	1
NC_008383.1_region	0	0	0.00	0	0
NC_008379.1	352782	55	0.00	0	1
NC_008379.1_region	0	0	0.00	0	0
NC_008800.1	4615899	11951	0.00	0	14
NC_008800.1_region	6265	1727	0.28	0	5
NC_008791.1	67721	37	0.00	0	1
NC_008791.1_region	0	0	0.00	0	0
NC_002528.1	640681	2259	0.00	0	8
NC_002528.1_region	2380	853	0.36	0	8
NC_002745.2	2814816	10709	0.00	0	324
NC_002745.2_region	4711	6848	1.45	0	324
NC_003366.1	3031430	18210	0.01	0	224
NC_003366.1_region	7514	10194	1.36	0	224
NC_006347.1	5277274	15088	0.00	0	19
NC_006347.1_region	5645	2883	0.51	0	19
NC_006297.1	33716	36	0.00	0	2
NC_006297.1_region	0	0	0.00	0	0
NC_006576.1	2696255	19654	0.01	0	434
NC_006576.1_region	3400	9819	2.89	0	434
NC_012490.1	6516310	19995	0.00	0	60
NC_012490.1_region	4092	2920	0.71	0	44
NC_007486.1	104014	188	0.00	0	2
NC_007486.1_region	0	0	0.00	0	0
NC_007491.1	271577	223	0.00	0	1
NC_007491.1_region	0	0	0.00	0	0
NC_010296.1	5842795	10041	0.00	0	69
NC_010296.1_region	3189	1495	0.47	0	14
NC_012891.1	2106340	3809	0.00	0	7
NC_012891.1_region	4293	544	0.13	0	4
NC_013209.1	2907495	25252	0.01	0	116
NC_013209.1_region	4445	8564	1.93	0	116
NC_013210.1	191799	147	0.00	0	1
NC_013210.1_region	0	0	0.00	0	0
NC_013211.1	182940	112	0.00	0	1
NC_013211.1_region	0	0	0.00	0	0
NC_013212.1	49961	94	0.00	0	1
NC_013212.1_region	0	0	0.00	0	0
NC_013213.1	3204	55	0.02	0	2
NC_013213.1_region	0	0	0.00	0	0
NC_006350.1	4074542	73590	0.02	0	144
NC_006350.1_region	4167	36253	8.70	0	144
NC_006351.1	3173005	15918	0.01	0	70
NC_006351.1_region	651	2558	3.93	0	33
NC_005791.1	1661137	2598	0.00	0	10
NC_005791.1_region	3063	168	0.05	0	2
NC_006677.1	2702173	36721	0.01	0	128
NC_006677.1_region	4398	14640	3.33	0	128
NC_006672.1	163186	109	0.00	0	1
NC_006672.1_region	0	0	0.00	0	0
NC_006673.1	26568	19	0.00	0	1
NC_006673.1_region	0	0	0.00	0	0
NC_006675.1	13223	18	0.00	0	1
NC_006675.1_region	0	0	0.00	0	0
NC_006348.1	3510148	53618	0.02	0	137
NC_006348.1_region	3685	33855	9.19	0	137
NC_006349.2	2325379	26064	0.01	0	62
NC_006349.2_region	804	3056	3.80	0	59
NC_006449.1	1796226	4020	0.00	0	20
NC_006449.1_region	5050	621	0.12	0	4
NC_002936.3	1469720	5185	0.00	0	13
NC_002936.3_region	3603	1896	0.53	0	12
NC_007005.1	6093698	29936	0.00	0	75
NC_007005.1_region	5005	9181	1.83	0	75
NC_004129.6	7074893	27435	0.00	0	60
NC_004129.6_region	5460	7199	1.32	0	60
NC_007181.1	2225959	1926	0.00	0	6
NC_007181.1_region	3959	24	0.01	0	1
NC_007651.1	3809201	76657	0.02	0	260
NC_007651.1_region	4119	39655	9.63	0	260
NC_007650.1	2914771	13692	0.00	0	63
NC_007650.1_region	577	315	0.55	0	6
NC_007492.2	6438405	24013	0.00	0	41
NC_007492.2_region	5710	5574	0.98	0	41
NC_007633.1	1010023	3437	0.00	0	14
NC_007633.1_region	2351	961	0.41	0	13
NC_007797.1	1471282	11904	0.01	0	132
NC_007797.1_region	2826	4173	1.48	0	132
NC_007799.1	1176248	8030	0.01	0	89
NC_007799.1_region	2852	3596	1.26	0	89
NC_009434.1	4567418	24236	0.01	0	32
NC_009434.1_region	4721	6061	1.28	0	32
NC_008508.1	3614446	13788	0.00	0	159
NC_008508.1_region	2820	1284	0.46	0	34
NC_008509.1	317336	472	0.00	0	7
NC_008509.1_region	0	0	0.00	0	0
NC_009850.1	2341251	10568	0.00	0	42
NC_009850.1_region	4238	1022	0.24	0	5
NC_008531.1	2038396	5105	0.00	0	10
NC_008531.1_region	5324	583	0.11	0	3
NC_008496.1	37367	20	0.00	0	1
NC_008496.1_region	0	0	0.00	0	0
NC_008526.1	2895264	7431	0.00	0	29
NC_008526.1_region	4442	1291	0.29	0	20
NC_008502.1	29061	18	0.00	0	1
NC_008502.1_region	0	0	0.00	0	0
NC_008570.1	4744448	24409	0.01	0	64
NC_008570.1_region	9862	5768	0.58	0	48
NC_008599.1	1773615	5870	0.00	0	13
NC_008599.1_region	3458	1775	0.51	0	13
NC_010080.1	2080931	3672	0.00	0	11
NC_010080.1_region	4612	208	0.05	0	4
NC_009725.2	3918596	11563	0.00	0	59
NC_009725.2_region	6786	2637	0.39	0	16
NC_009052.1	5127376	22033	0.00	0	45
NC_009052.1_region	8325	5243	0.63	0	45
NC_009035.1	116763	854	0.01	0	36
NC_009035.1_region	796	817	1.03	0	36
NC_009036.1	74000	60	0.00	0	3
NC_009036.1_region	0	0	0.00	0	0
NC_009038.1	7995	39	0.00	0	1
NC_009038.1_region	0	0	0.00	0	0
NC_009012.1	3843301	16083	0.00	0	201
NC_009012.1_region	4391	7528	1.71	0	201
NC_009053.1	2274482	10400	0.00	0	16
NC_009053.1_region	4874	1903	0.39	0	13
NC_009049.1	3147721	43099	0.01	0	134
NC_009049.1_region	3115	14745	4.73	0	83
NC_009050.1	1219053	61163	0.05	0	111
NC_009050.1_region	1247	1671	1.34	0	16
NC_009040.1	122606	37	0.00	0	1
NC_009040.1_region	0	0	0.00	0	0
NC_009648.1	5315120	15937	0.00	0	81
NC_009648.1_region	6747	1964	0.29	0	15
NC_009649.1	175879	3507	0.02	0	35
NC_009649.1_region	0	0	0.00	0	0
NC_009650.1	107576	167	0.00	0	2
NC_009650.1_region	0	0	0.00	0	0
NC_009651.1	88582	310	0.00	0	3
NC_009651.1_region	0	0	0.00	0	0
NC_009653.1	3478	44	0.01	0	2
NC_009653.1_region	0	0	0.00	0	0
NC_009439.1	5072807	23451	0.00	0	39
NC_009439.1_region	5150	6046	1.17	0	36
NC_009513.1	1999618	4896	0.00	0	8
NC_009513.1_region	5130	343	0.07	0	1
NC_009617.1	6000632	10380	0.00	0	10
NC_009617.1_region	7328	1338	0.18	0	6
NC_010263.3	1268201	15507	0.01	0	306
NC_010263.3_region	2666	3497	1.31	0	33
NC_009778.1	4368373	13678	0.00	0	46
NC_009778.1_region	6510	2598	0.40	0	46
NC_009779.1	31208	415	0.01	0	2
NC_009779.1_region	0	0	0.00	0	0
NC_009780.1	131196	96	0.00	0	1
NC_009780.1_region	0	0	0.00	0	0
NC_012587.1	3925702	41287	0.01	0	51
NC_012587.1_region	4253	11627	2.73	0	51
NC_000914.2	536165	899	0.00	0	15
NC_000914.2_region	76	99	1.30	0	4
NC_012586.1	2430033	3565	0.00	0	32
NC_012586.1_region	0	0	0.00	0	0
NC_010172.1	5471154	60872	0.01	0	97
NC_010172.1_region	4530	20579	4.54	0	97
NC_012039.1	1525460	4036	0.00	0	23
NC_012039.1_region	3974	1463	0.37	0	23
NC_012040.1	46201	18	0.00	0	1
NC_012040.1_region	0	0	0.00	0	0
NC_010682.1	3942557	78034	0.02	0	145
NC_010682.1_region	4165	25196	6.05	0	145
NC_010678.1	1302238	25248	0.02	0	121
NC_010678.1_region	315	1549	4.92	0	24
NC_010683.1	80934	37	0.00	0	1
NC_010683.1_region	0	0	0.00	0	0
NC_011138.3	4480937	12840	0.00	0	23
NC_011138.3_region	4702	2094	0.45	0	23
NC_011134.1	2024171	3131	0.00	0	7
NC_011134.1_region	4291	455	0.11	0	3
NC_012560.1	5365318	25936	0.00	0	74
NC_012560.1_region	5004	6118	1.22	0	27
NC_011835.1	1933695	10959	0.01	0	75
NC_011835.1_region	3933	996	0.25	0	7
NC_011852.1	2269156	10326	0.00	0	27
NC_011852.1_region	4401	2113	0.48	0	13
NC_012588.1	2608832	3247	0.00	0	14
NC_012588.1_region	3923	56	0.01	0	1
NC_012791.1	5626353	580368	0.10	0	1203
NC_012791.1_region	3621	132576	36.61	0	1082
NC_012792.1	1128644	4602	0.00	0	86
NC_012792.1_region	1170	2223	1.90	0	86
NC_012917.1	4862913	14167	0.00	0	23
NC_012917.1_region	6127	2238	0.37	0	23
NC_013956.2	4703373	11357	0.00	0	44
NC_013956.2_region	5554	3179	0.57	0	44
NC_014103.1	5097447	22142	0.00	0	283
NC_014103.1_region	8857	13776	1.56	0	283
NC_013198.1	3010111	19769	0.01	0	707
NC_013198.1_region	4296	868	0.20	0	15
NC_013798.1	2350911	3850	0.00	0	9
NC_013798.1_region	5372	506	0.09	0	3
NC_000907.1	1830138	9064	0.00	0	44
NC_000907.1_region	4484	1594	0.36	0	10
NC_000908.2	580076	1702	0.00	0	9
NC_000908.2_region	2834	200	0.07	0	6
NC_000912.1	816394	1989	0.00	0	6
NC_000912.1_region	2919	205	0.07	0	4
NC_004459.3	3281866	29047	0.01	0	368
NC_004459.3_region	7676	8733	1.14	0	368
NC_004460.2	1844830	3794	0.00	0	24
NC_004460.2_region	1032	92	0.09	0	1
NC_006155.1	4744671	11878	0.00	0	58
NC_006155.1_region	6789	1684	0.25	0	6
NC_006153.2	68525	38	0.00	0	1
NC_006153.2_region	0	0	0.00	0	0
NC_006154.1	27702	37	0.00	0	1
NC_006154.1_region	0	0	0.00	0	0
NC_008054.1	1864998	6885	0.00	0	8
NC_008054.1_region	7163	855	0.12	0	3
NC_009480.1	3297891	37429	0.01	0	197
NC_009480.1_region	3444	11760	3.41	0	197
NC_009479.1	69989	100	0.00	0	4
NC_009479.1_region	0	0	0.00	0	0
NC_009488.1	2127051	12919	0.01	0	56
NC_009488.1_region	2674	3397	1.27	0	56
NC_009495.1	3886916	7192	0.00	0	11
NC_009495.1_region	6243	994	0.16	0	8
NC_009613.3	2860382	19004	0.01	0	17
NC_009613.3_region	3695	3299	0.89	0	11
NC_010397.1	5067172	15277	0.00	0	178
NC_010397.1_region	3628	2816	0.78	0	24
NC_010394.1	23319	60	0.00	0	1
NC_010394.1_region	0	0	0.00	0	0
NC_010943.1	4851126	66167	0.01	0	1581
NC_010943.1_region	5795	46054	7.95	0	1581
NC_014215.1	2616384	10037	0.00	0	28
NC_014215.1_region	3429	1103	0.32	0	4
NC_007761.1	4381608	51706	0.01	0	128
NC_007761.1_region	3903	11846	3.04	0	45
NC_007762.1	194229	200	0.00	0	2
NC_007762.1_region	0	0	0.00	0	0
NC_007763.1	184338	81	0.00	0	2
NC_007763.1_region	0	0	0.00	0	0
NC_007764.1	250948	151	0.00	0	2
NC_007764.1_region	0	0	0.00	0	0
NC_007765.1	505334	417	0.00	0	2
NC_007765.1_region	0	0	0.00	0	0
NC_007766.1	642517	417	0.00	0	2
NC_007766.1_region	0	0	0.00	0	0
NC_004041.2	371254	5441	0.01	0	276
NC_004041.2_region	0	0	0.00	0	0
NC_004342.2	4338762	7980	0.00	0	13
NC_004342.2_region	2820	919	0.33	0	5
NC_004343.2	359372	482	0.00	0	4
NC_004343.2_region	0	0	0.00	0	0
NC_004829.2	1012800	2526	0.00	0	6
NC_004829.2_region	2492	337	0.14	0	4
NC_014329.2	2337241	7169	0.00	0	12
NC_014329.2_region	3661	749	0.20	0	3
NC_014330.1	2586443	7702	0.00	0	96
NC_014330.1_region	2598	939	0.36	0	23
NC_014448.1	839615	39266	0.05	0	439
NC_014448.1_region	2368	13796	5.83	0	439
NC_014483.2	5394883	13293	0.00	0	18
NC_014483.2_region	7015	2832	0.40	0	18
NC_014638.1	2214656	7386	0.00	0	36
NC_014638.1_region	4063	629	0.15	0	4
NC_018632.1	4653851	13615	0.00	0	25
NC_018632.1_region	4048	2529	0.62	0	25
NC_017960.1	2698137	6387	0.00	0	52
NC_017960.1_region	4689	541	0.12	0	4
NC_017961.1	36262	38	0.00	0	1
NC_017961.1_region	0	0	0.00	0	0
NC_017962.1	66247	142	0.00	0	2
NC_017962.1_region	156	0	0.00	0	0
NC_017963.1	251926	74	0.00	0	1
NC_017963.1_region	0	0	0.00	0	0
NC_014738.1	2155121	31774	0.01	0	27
NC_014738.1_region	3030	6521	2.15	0	27
NC_014760.1	1003404	4529	0.00	0	16
NC_014760.1_region	2673	1505	0.56	0	16
NC_015470.1	1171660	2172	0.00	0	8
NC_015470.1_region	2895	505	0.17	0	5
NC_002929.2	4086189	130311	0.03	0	838
NC_002929.2_region	3997	19727	4.94	0	110
NC_000963.1	1111523	12394	0.01	0	316
NC_000963.1_region	2592	1504	0.58	0	17
NC_002937.3	3570858	20793	0.01	0	48
NC_002937.3_region	5284	4747	0.90	0	29
NC_005863.1	202301	113	0.00	0	2
NC_005863.1_region	0	0	0.00	0	0
NC_005296.1	5459213	31595	0.01	0	44
NC_005296.1_region	3841	8326	2.17	0	44
NC_005297.1	8427	21	0.00	0	1
NC_005297.1_region	0	0	0.00	0	0
NC_002677.1	3268203	10170	0.00	0	107
NC_002677.1_region	3418	1452	0.42	0	12
NC_007355.1	4837408	4182	0.00	0	12
NC_007355.1_region	4927	89	0.02	0	2
NC_007349.1	36358	36	0.00	0	2
NC_007349.1_region	0	0	0.00	0	0
NC_000962.3	4411532	26132	0.01	0	842
NC_000962.3_region	3385	1811	0.54	0	16
NC_004603.1	3288558	16820	0.01	0	32
NC_004603.1_region	8861	2249	0.25	0	32
NC_004605.1	1877212	3589	0.00	0	26
NC_004605.1_region	1117	185	0.17	0	5
NC_006958.1	3282708	12216	0.00	0	38
NC_006958.1_region	4459	1536	0.34	0	22
NC_009348.1	4702402	17273	0.00	0	39
NC_009348.1_region	8475	5109	0.60	0	39
NC_009349.1	166749	511	0.00	0	2
NC_009349.1_region	0	0	0.00	0	0
NC_009350.1	155098	199	0.00	0	8
NC_009350.1_region	0	0	0.00	0	0
NC_014318.1	10236715	19068	0.00	0	47
NC_014318.1_region	4166	1630	0.39	0	8
NC_008542.1	3483902	90520	0.03	0	249
NC_008542.1_region	4706	44442	9.44	0	249
NC_008543.1	2998664	12700	0.00	0	45
NC_008543.1_region	611	1215	1.99	0	28
NC_008544.1	1055417	10825	0.01	0	33
NC_008544.1_region	153	164	1.07	0	3
NC_008545.1	164857	74	0.00	0	1
NC_008545.1_region	0	0	0.00	0	0
NC_015408.1	1106197	3094	0.00	0	34
NC_015408.1_region	2893	633	0.22	0	7
NC_017218.1	2327492	11734	0.01	0	252
NC_017218.1_region	4007	977	0.24	0	12
NC_015567.1	5442880	14867	0.00	0	68
NC_015567.1_region	6787	3075	0.45	0	42
NC_015683.1	2606374	9247	0.00	0	60
NC_015683.1_region	3873	742	0.19	0	5
NC_015634.1	3073079	14717	0.00	0	215
NC_015634.1_region	5584	6279	1.12	0	215
NC_015690.1	8663821	16062	0.00	0	55
NC_015690.1_region	8536	2051	0.24	0	18
NC_017238.1	903609	2016	0.00	0	5
NC_017238.1_region	2438	202	0.08	0	2
NC_017225.1	30065	19	0.00	0	1
NC_017225.1_region	0	0	0.00	0	0
NC_017231.1	25262	20	0.00	0	1
NC_017231.1_region	0	0	0.00	0	0
NC_017228.1	29421	20	0.00	0	1
NC_017228.1_region	0	0	0.00	0	0
NC_017232.1	24675	18	0.00	0	1
NC_017232.1_region	0	0	0.00	0	0
NC_017239.1	26626	20	0.00	0	1
NC_017239.1_region	0	0	0.00	0	0
NC_017233.1	22901	18	0.00	0	1
NC_017233.1_region	0	0	0.00	0	0
NC_017234.1	22449	38	0.00	0	1
NC_017234.1_region	0	0	0.00	0	0
NC_017235.1	27239	23	0.00	0	1
NC_017235.1_region	0	0	0.00	0	0
NC_017236.1	20715	55	0.00	0	2
NC_017236.1_region	0	0	0.00	0	0
NC_017241.1	57919	19	0.00	0	1
NC_017241.1_region	0	0	0.00	0	0
NC_016610.1	3405521	13039	0.00	0	118
NC_016610.1_region	3492	4170	1.19	0	118
NC_017717.1	905534	2344	0.00	0	8
NC_017717.1_region	2436	166	0.07	0	2
NC_017725.1	27111	36	0.00	0	1
NC_017725.1_region	0	0	0.00	0	0
NC_017804.1	61166	57	0.00	0	1
NC_017804.1_region	0	0	0.00	0	0
NZ_CP023402.1	4093812	44841	0.01	0	26
NZ_CP023402.1_region	4041	9342	2.31	0	21
NC_016612.1	5974109	23431	0.00	0	382
NC_016612.1_region	6589	2282	0.35	0	17
NC_017765.1	10145833	22748	0.00	0	41
NC_017765.1_region	5541	2034	0.37	0	13
NC_017766.1	164566	114	0.00	0	2
NC_017766.1_region	0	0	0.00	0	0
NC_016972.1	73285	183	0.00	0	4
NC_016972.1_region	0	0	0.00	0	0
NC_015761.1	4460105	11580	0.00	0	19
NC_015761.1_region	6923	2171	0.31	0	19
NC_017595.1	2210574	3679	0.00	0	13
NC_017595.1_region	5123	523	0.10	0	3
NC_016802.1	2468612	19346	0.01	0	620
NC_016802.1_region	3920	573	0.15	0	3
NC_016946.1	5402402	16238	0.00	0	209
NC_016946.1_region	3510	6327	1.80	0	209
NC_018513.1	3463655	63462	0.02	0	139
NC_018513.1_region	4251	37146	8.74	0	139
NC_018514.1	3003666	4018	0.00	0	33
NC_018514.1_region	333	1100	3.30	0	20
NC_018631.1	1893499	4301	0.00	0	10
NC_018631.1_region	5028	574	0.11	0	2
NC_018073.1	1933610	3106	0.00	0	8
NC_018073.1_region	5103	716	0.14	0	4
NC_019567.1	3988594	24705	0.01	0	64
NC_019567.1_region	2769	6896	2.49	0	64
NC_019382.1	5264383	136005	0.03	0	793
NC_019382.1_region	4226	24103	5.70	0	140
NC_020134.1	2974379	8059	0.00	0	17
NC_020134.1_region	3762	2124	0.56	0	17
NC_020211.1	5241455	15120	0.00	0	33
NC_020211.1_region	6566	3824	0.58	0	33
NZ_CP007159.1	3701221	144944	0.04	0	861
NZ_CP007159.1_region	4555	23619	5.19	0	127
NC_020515.1	2407846	18540	0.01	0	61
NC_020515.1_region	4493	2298	0.51	0	14
NC_020510.1	632490	5003	0.01	0	17
NC_020510.1_region	2591	932	0.36	0	10
NC_020834.2	2544094	10035	0.00	0	19
NC_020834.2_region	4787	2834	0.59	0	19
NC_021089.1	1295804	6735	0.01	0	46
NC_021089.1_region	2630	1737	0.66	0	12
NC_022238.1	1991156	3788	0.00	0	8
NC_022238.1_region	4479	679	0.15	0	5
NC_022239.1	2233640	3464	0.00	0	18
NC_022239.1_region	4405	278	0.06	0	2
NC_022347.1	1673221	4429	0.00	0	22
NC_022347.1_region	3462	1342	0.39	0	22
NC_023134.1	4046337	9007	0.00	0	15
NC_023134.1_region	6290	2435	0.39	0	15
NC_023147.1	9669	19	0.00	0	1
NC_023147.1_region	0	0	0.00	0	0
NZ_CP006943.1	2245238	12692	0.01	0	24
NZ_CP006943.1_region	4872	2544	0.52	0	13
NZ_CP008897.1	4633407	19035	0.00	0	336
NZ_CP008897.1_region	6509	8938	1.37	0	336
NZ_CP008898.1	62247	193	0.00	0	2
NZ_CP008898.1_region	0	0	0.00	0	0
NZ_CP008899.1	255013	208	0.00	0	2
NZ_CP008899.1_region	0	0	0.00	0	0
NZ_CP008900.1	60388	56	0.00	0	2
NZ_CP008900.1_region	0	0	0.00	0	0
NZ_CP008901.1	50333	169	0.00	0	1
NZ_CP008901.1_region	0	0	0.00	0	0
NZ_CP010905.2	4274782	8598	0.00	0	7
NZ_CP010905.2_region	7045	1781	0.25	0	7
NZ_CP009506.1	5017558	4628	0.00	0	8
NZ_CP009506.1_region	4462	86	0.02	0	2
NZ_CP013336.1	2424685	15557	0.01	0	222
NZ_CP013336.1_region	3128	11177	3.57	0	222
NZ_CP013337.1	5838	23	0.00	0	1
NZ_CP013337.1_region	0	0	0.00	0	0
NZ_CP015137.1	4919833	12014	0.00	0	14
NZ_CP015137.1_region	5877	1947	0.33	0	5
NZ_AP014642.1	6176365	19309	0.00	0	443
NZ_AP014642.1_region	5142	1034	0.20	0	8
NZ_AP014643.1	77793	20	0.00	0	1
NZ_AP014643.1_region	0	0	0.00	0	0
NZ_AP014644.1	504942	395	0.00	0	2
